width,height,ratio,area,class
tensor(518.7500),tensor(271.2500),tensor(1.9124),tensor(140710.9375),2
tensor(217.5000),tensor(122.5000),tensor(1.7755),tensor(26643.7500),2
tensor(93.7500),tensor(416.2500),tensor(0.2252),tensor(39023.4375),0
tensor(80.),tensor(637.5000),tensor(0.1255),tensor(51000.),0
tensor(66.2500),tensor(97.5000),tensor(0.6795),tensor(6459.3750),0
tensor(142.5000),tensor(500.),tensor(0.2850),tensor(71250.),0
tensor(22.5000),tensor(42.5000),tensor(0.5294),tensor(956.2500),0
tensor(51.2500),tensor(636.2500),tensor(0.0806),tensor(32607.8125),0
tensor(93.7500),tensor(353.7500),tensor(0.2650),tensor(33164.0625),0
tensor(161.2500),tensor(302.5000),tensor(0.5331),tensor(48778.1250),0
tensor(43.7500),tensor(43.7500),tensor(1.),tensor(1914.0625),3
tensor(15.),tensor(17.5000),tensor(0.8571),tensor(262.5000),3
tensor(117.5000),tensor(91.2500),tensor(1.2877),tensor(10721.8750),2
tensor(270.),tensor(242.5000),tensor(1.1134),tensor(65475.),2
tensor(127.5000),tensor(43.7500),tensor(2.9143),tensor(5578.1250),1
tensor(92.5000),tensor(81.2500),tensor(1.1385),tensor(7515.6250),0
tensor(157.5000),tensor(27.5000),tensor(5.7273),tensor(4331.2500),1
tensor(65.),tensor(167.5000),tensor(0.3881),tensor(10887.5000),0
tensor(87.5000),tensor(218.7500),tensor(0.4000),tensor(19140.6250),0
tensor(202.5000),tensor(637.5000),tensor(0.3176),tensor(129093.7500),0
tensor(496.2500),tensor(92.5000),tensor(5.3649),tensor(45903.1250),1
tensor(141.2500),tensor(156.2500),tensor(0.9040),tensor(22070.3125),0
tensor(106.2500),tensor(262.5000),tensor(0.4048),tensor(27890.6250),0
tensor(28.7500),tensor(170.),tensor(0.1691),tensor(4887.5000),0
tensor(65.),tensor(473.7500),tensor(0.1372),tensor(30793.7500),0
tensor(406.2500),tensor(53.7500),tensor(7.5581),tensor(21835.9375),2
tensor(225.),tensor(53.7500),tensor(4.1860),tensor(12093.7500),1
tensor(577.5000),tensor(48.7500),tensor(11.8462),tensor(28153.1250),1
tensor(431.2500),tensor(91.2500),tensor(4.7260),tensor(39351.5625),1
tensor(95.),tensor(503.7500),tensor(0.1886),tensor(47856.2500),3
tensor(638.7500),tensor(66.2500),tensor(9.6415),tensor(42317.1875),1
tensor(276.2500),tensor(493.7500),tensor(0.5595),tensor(136398.4375),0
tensor(133.7500),tensor(362.5000),tensor(0.3690),tensor(48484.3750),0
tensor(138.7500),tensor(185.),tensor(0.7500),tensor(25668.7500),0
tensor(638.7500),tensor(52.5000),tensor(12.1667),tensor(33534.3750),1
tensor(402.5000),tensor(73.7500),tensor(5.4576),tensor(29684.3750),1
tensor(336.2500),tensor(56.2500),tensor(5.9778),tensor(18914.0625),1
tensor(206.2500),tensor(48.7500),tensor(4.2308),tensor(10054.6875),1
tensor(560.),tensor(413.7500),tensor(1.3535),tensor(231700.),2
tensor(213.7500),tensor(190.),tensor(1.1250),tensor(40612.5000),0
tensor(105.),tensor(568.7500),tensor(0.1846),tensor(59718.7500),0
tensor(57.5000),tensor(33.7500),tensor(1.7037),tensor(1940.6250),0
tensor(96.2500),tensor(25.),tensor(3.8500),tensor(2406.2500),1
tensor(16.2500),tensor(60.),tensor(0.2708),tensor(975.),0
tensor(163.7500),tensor(30.),tensor(5.4583),tensor(4912.5000),1
tensor(21.2500),tensor(161.2500),tensor(0.1318),tensor(3426.5625),0
tensor(57.5000),tensor(157.5000),tensor(0.3651),tensor(9056.2500),0
tensor(21.2500),tensor(47.5000),tensor(0.4474),tensor(1009.3750),0
tensor(288.7500),tensor(232.5000),tensor(1.2419),tensor(67134.3750),4
tensor(142.5000),tensor(362.5000),tensor(0.3931),tensor(51656.2500),0
tensor(250.),tensor(165.),tensor(1.5152),tensor(41250.),4
tensor(261.2500),tensor(81.2500),tensor(3.2154),tensor(21226.5625),2
tensor(80.),tensor(50.),tensor(1.6000),tensor(4000.),2
tensor(51.2500),tensor(163.7500),tensor(0.3130),tensor(8392.1875),0
tensor(558.7500),tensor(215.),tensor(2.5988),tensor(120131.2500),2
tensor(355.),tensor(242.5000),tensor(1.4639),tensor(86087.5000),2
tensor(293.7500),tensor(262.5000),tensor(1.1190),tensor(77109.3750),0
tensor(55.),tensor(56.2500),tensor(0.9778),tensor(3093.7500),0
tensor(11.2500),tensor(95.),tensor(0.1184),tensor(1068.7500),0
tensor(18.7500),tensor(182.5000),tensor(0.1027),tensor(3421.8750),0
tensor(75.),tensor(43.7500),tensor(1.7143),tensor(3281.2500),0
tensor(80.),tensor(115.),tensor(0.6957),tensor(9200.),0
tensor(195.),tensor(37.5000),tensor(5.2000),tensor(7312.5000),1
tensor(72.5000),tensor(223.7500),tensor(0.3240),tensor(16221.8750),3
tensor(370.),tensor(102.5000),tensor(3.6098),tensor(37925.),1
tensor(82.5000),tensor(175.),tensor(0.4714),tensor(14437.5000),0
tensor(76.2500),tensor(337.5000),tensor(0.2259),tensor(25734.3750),0
tensor(27.5000),tensor(107.5000),tensor(0.2558),tensor(2956.2500),0
tensor(147.5000),tensor(80.),tensor(1.8438),tensor(11800.),0
tensor(63.7500),tensor(342.5000),tensor(0.1861),tensor(21834.3750),0
tensor(120.),tensor(223.7500),tensor(0.5363),tensor(26850.),0
tensor(28.7500),tensor(271.2500),tensor(0.1060),tensor(7798.4375),0
tensor(45.),tensor(172.5000),tensor(0.2609),tensor(7762.5000),0
tensor(40.),tensor(636.2500),tensor(0.0629),tensor(25450.),0
tensor(28.7500),tensor(636.2500),tensor(0.0452),tensor(18292.1875),0
tensor(145.),tensor(71.2500),tensor(2.0351),tensor(10331.2500),0
tensor(461.2500),tensor(100.),tensor(4.6125),tensor(46125.),1
tensor(108.7500),tensor(68.7500),tensor(1.5818),tensor(7476.5625),0
tensor(40.),tensor(70.),tensor(0.5714),tensor(2800.),0
tensor(295.),tensor(17.5000),tensor(16.8571),tensor(5162.5000),1
tensor(192.5000),tensor(357.5000),tensor(0.5385),tensor(68818.7500),0
tensor(151.2500),tensor(342.5000),tensor(0.4416),tensor(51803.1250),0
tensor(130.),tensor(176.2500),tensor(0.7376),tensor(22912.5000),0
tensor(558.7500),tensor(387.5000),tensor(1.4419),tensor(216515.6250),2
tensor(555.),tensor(343.7500),tensor(1.6145),tensor(190781.2500),2
tensor(637.5000),tensor(255.),tensor(2.5000),tensor(162562.5000),4
tensor(22.5000),tensor(16.2500),tensor(1.3846),tensor(365.6250),3
tensor(105.),tensor(506.2500),tensor(0.2074),tensor(53156.2500),0
tensor(82.5000),tensor(637.5000),tensor(0.1294),tensor(52593.7500),0
tensor(60.),tensor(635.),tensor(0.0945),tensor(38100.),0
tensor(106.2500),tensor(523.7500),tensor(0.2029),tensor(55648.4375),0
tensor(27.5000),tensor(142.5000),tensor(0.1930),tensor(3918.7500),0
tensor(25.),tensor(65.),tensor(0.3846),tensor(1625.),0
tensor(77.5000),tensor(158.7500),tensor(0.4882),tensor(12303.1250),0
tensor(38.7500),tensor(181.2500),tensor(0.2138),tensor(7023.4375),0
tensor(17.5000),tensor(157.5000),tensor(0.1111),tensor(2756.2500),0
tensor(32.5000),tensor(127.5000),tensor(0.2549),tensor(4143.7500),0
tensor(26.2500),tensor(115.),tensor(0.2283),tensor(3018.7500),0
tensor(110.),tensor(25.),tensor(4.4000),tensor(2750.),1
tensor(45.),tensor(390.),tensor(0.1154),tensor(17550.),0
tensor(175.),tensor(35.),tensor(5.),tensor(6125.),1
tensor(111.2500),tensor(551.2500),tensor(0.2018),tensor(61326.5625),0
tensor(546.2500),tensor(57.5000),tensor(9.5000),tensor(31409.3750),1
tensor(638.7500),tensor(423.7500),tensor(1.5074),tensor(270670.3125),2
tensor(276.2500),tensor(210.),tensor(1.3155),tensor(58012.5000),2
tensor(33.7500),tensor(27.5000),tensor(1.2273),tensor(928.1250),3
tensor(637.5000),tensor(371.2500),tensor(1.7172),tensor(236671.8750),4
tensor(638.7500),tensor(48.7500),tensor(13.1026),tensor(31139.0625),1
tensor(31.2500),tensor(213.7500),tensor(0.1462),tensor(6679.6875),0
tensor(191.2500),tensor(127.5000),tensor(1.5000),tensor(24384.3750),2
tensor(38.7500),tensor(265.),tensor(0.1462),tensor(10268.7500),0
tensor(638.7500),tensor(415.),tensor(1.5392),tensor(265081.2500),4
tensor(98.7500),tensor(218.7500),tensor(0.4514),tensor(21601.5625),0
tensor(35.),tensor(108.7500),tensor(0.3218),tensor(3806.2500),0
tensor(50.),tensor(143.7500),tensor(0.3478),tensor(7187.5000),0
tensor(128.7500),tensor(81.2500),tensor(1.5846),tensor(10460.9375),0
tensor(55.),tensor(290.),tensor(0.1897),tensor(15950.),0
tensor(30.),tensor(105.),tensor(0.2857),tensor(3150.),0
tensor(350.),tensor(396.2500),tensor(0.8833),tensor(138687.5000),2
tensor(51.2500),tensor(520.),tensor(0.0986),tensor(26650.),0
tensor(635.),tensor(125.),tensor(5.0800),tensor(79375.),1
tensor(133.7500),tensor(111.2500),tensor(1.2022),tensor(14879.6875),0
tensor(210.),tensor(87.5000),tensor(2.4000),tensor(18375.),0
tensor(145.),tensor(58.7500),tensor(2.4681),tensor(8518.7500),1
tensor(638.7500),tensor(81.2500),tensor(7.8615),tensor(51898.4375),2
tensor(533.7500),tensor(43.7500),tensor(12.2000),tensor(23351.5625),1
tensor(36.2500),tensor(353.7500),tensor(0.1025),tensor(12823.4375),0
tensor(52.5000),tensor(53.7500),tensor(0.9767),tensor(2821.8750),3
tensor(16.2500),tensor(23.7500),tensor(0.6842),tensor(385.9375),3
tensor(18.7500),tensor(47.5000),tensor(0.3947),tensor(890.6250),0
tensor(56.2500),tensor(57.5000),tensor(0.9783),tensor(3234.3750),0
tensor(158.7500),tensor(33.7500),tensor(4.7037),tensor(5357.8125),1
tensor(207.5000),tensor(113.7500),tensor(1.8242),tensor(23603.1250),4
tensor(23.7500),tensor(25.),tensor(0.9500),tensor(593.7500),3
tensor(76.2500),tensor(15.),tensor(5.0833),tensor(1143.7500),1
tensor(32.5000),tensor(102.5000),tensor(0.3171),tensor(3331.2500),0
tensor(338.7500),tensor(50.),tensor(6.7750),tensor(16937.5000),1
tensor(28.7500),tensor(40.),tensor(0.7188),tensor(1150.),3
tensor(20.),tensor(38.7500),tensor(0.5161),tensor(775.),3
tensor(172.5000),tensor(141.2500),tensor(1.2212),tensor(24365.6250),2
tensor(143.7500),tensor(53.7500),tensor(2.6744),tensor(7726.5625),0
tensor(30.),tensor(101.2500),tensor(0.2963),tensor(3037.5000),0
tensor(176.2500),tensor(28.7500),tensor(6.1304),tensor(5067.1875),1
tensor(283.7500),tensor(216.2500),tensor(1.3121),tensor(61360.9375),2
tensor(65.),tensor(367.5000),tensor(0.1769),tensor(23887.5000),0
tensor(86.2500),tensor(171.2500),tensor(0.5036),tensor(14770.3125),0
tensor(165.),tensor(80.),tensor(2.0625),tensor(13200.),0
tensor(323.7500),tensor(113.7500),tensor(2.8462),tensor(36826.5625),0
tensor(168.7500),tensor(42.5000),tensor(3.9706),tensor(7171.8750),0
tensor(48.7500),tensor(423.7500),tensor(0.1150),tensor(20657.8125),0
tensor(50.),tensor(637.5000),tensor(0.0784),tensor(31875.),0
tensor(42.5000),tensor(418.7500),tensor(0.1015),tensor(17796.8750),0
tensor(56.2500),tensor(325.),tensor(0.1731),tensor(18281.2500),0
tensor(113.7500),tensor(80.),tensor(1.4219),tensor(9100.),0
tensor(396.2500),tensor(312.5000),tensor(1.2680),tensor(123828.1250),0
tensor(162.5000),tensor(27.5000),tensor(5.9091),tensor(4468.7500),1
tensor(177.5000),tensor(88.7500),tensor(2.),tensor(15753.1250),0
tensor(166.2500),tensor(395.),tensor(0.4209),tensor(65668.7500),0
tensor(186.2500),tensor(480.),tensor(0.3880),tensor(89400.),0
tensor(191.2500),tensor(215.),tensor(0.8895),tensor(41118.7500),0
tensor(186.2500),tensor(41.2500),tensor(4.5152),tensor(7682.8125),1
tensor(20.),tensor(140.),tensor(0.1429),tensor(2800.),0
tensor(77.5000),tensor(106.2500),tensor(0.7294),tensor(8234.3750),0
tensor(135.),tensor(48.7500),tensor(2.7692),tensor(6581.2500),1
tensor(12.5000),tensor(38.7500),tensor(0.3226),tensor(484.3750),0
tensor(115.),tensor(80.),tensor(1.4375),tensor(9200.),0
tensor(330.),tensor(50.),tensor(6.6000),tensor(16500.),1
tensor(51.2500),tensor(630.),tensor(0.0813),tensor(32287.5000),0
tensor(81.2500),tensor(238.7500),tensor(0.3403),tensor(19398.4375),3
tensor(87.5000),tensor(330.),tensor(0.2652),tensor(28875.),0
tensor(170.),tensor(242.5000),tensor(0.7010),tensor(41225.),0
tensor(273.7500),tensor(490.),tensor(0.5587),tensor(134137.5000),0
tensor(163.7500),tensor(67.5000),tensor(2.4259),tensor(11053.1250),0
tensor(56.2500),tensor(476.2500),tensor(0.1181),tensor(26789.0625),0
tensor(638.7500),tensor(91.2500),tensor(7.),tensor(58285.9375),1
tensor(245.),tensor(35.),tensor(7.),tensor(8575.),1
tensor(55.),tensor(638.7500),tensor(0.0861),tensor(35131.2500),0
tensor(267.5000),tensor(22.5000),tensor(11.8889),tensor(6018.7500),1
tensor(148.7500),tensor(68.7500),tensor(2.1636),tensor(10226.5625),2
tensor(83.7500),tensor(91.2500),tensor(0.9178),tensor(7642.1875),0
tensor(638.7500),tensor(98.7500),tensor(6.4684),tensor(63076.5625),1
tensor(93.7500),tensor(131.2500),tensor(0.7143),tensor(12304.6875),0
tensor(178.7500),tensor(30.),tensor(5.9583),tensor(5362.5000),1
tensor(291.2500),tensor(462.5000),tensor(0.6297),tensor(134703.1250),0
tensor(198.7500),tensor(300.),tensor(0.6625),tensor(59625.),0
tensor(70.),tensor(266.2500),tensor(0.2629),tensor(18637.5000),0
tensor(210.),tensor(81.2500),tensor(2.5846),tensor(17062.5000),0
tensor(118.7500),tensor(433.7500),tensor(0.2738),tensor(51507.8125),3
tensor(86.2500),tensor(275.),tensor(0.3136),tensor(23718.7500),0
tensor(191.2500),tensor(62.5000),tensor(3.0600),tensor(11953.1250),1
tensor(106.2500),tensor(62.5000),tensor(1.7000),tensor(6640.6250),0
tensor(282.5000),tensor(96.2500),tensor(2.9351),tensor(27190.6250),0
tensor(250.),tensor(36.2500),tensor(6.8966),tensor(9062.5000),1
tensor(638.7500),tensor(213.7500),tensor(2.9883),tensor(136532.8125),2
tensor(98.7500),tensor(222.5000),tensor(0.4438),tensor(21971.8750),0
tensor(52.5000),tensor(178.7500),tensor(0.2937),tensor(9384.3750),0
tensor(58.7500),tensor(430.),tensor(0.1366),tensor(25262.5000),0
tensor(235.),tensor(215.),tensor(1.0930),tensor(50525.),0
tensor(85.),tensor(20.),tensor(4.2500),tensor(1700.),1
tensor(28.7500),tensor(117.5000),tensor(0.2447),tensor(3378.1250),0
tensor(86.2500),tensor(87.5000),tensor(0.9857),tensor(7546.8750),0
tensor(18.7500),tensor(98.7500),tensor(0.1899),tensor(1851.5625),0
tensor(118.7500),tensor(78.7500),tensor(1.5079),tensor(9351.5625),0
tensor(445.),tensor(75.),tensor(5.9333),tensor(33375.),1
tensor(162.5000),tensor(56.2500),tensor(2.8889),tensor(9140.6250),1
tensor(41.2500),tensor(97.5000),tensor(0.4231),tensor(4021.8750),0
tensor(52.5000),tensor(475.),tensor(0.1105),tensor(24937.5000),0
tensor(638.7500),tensor(65.),tensor(9.8269),tensor(41518.7500),2
tensor(576.2500),tensor(53.7500),tensor(10.7209),tensor(30973.4375),1
tensor(638.7500),tensor(57.5000),tensor(11.1087),tensor(36728.1250),1
tensor(255.),tensor(611.2500),tensor(0.4172),tensor(155868.7500),0
tensor(183.7500),tensor(575.),tensor(0.3196),tensor(105656.2500),0
tensor(35.),tensor(353.7500),tensor(0.0989),tensor(12381.2500),0
